hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
256,1,Adam,0.01,0.1,-0.5,0.5,5.617578269339896,40.629261726918756,0.02702702702702703,196
1024,1,Adam,0.001,0.01,-1,1,3.7314993300953425,10.828339634845126,0.8864864864864865,452
2048,1,SGD,1e-05,1,-0.5,0.5,3.6753085761456874,35.94871963316494,0.07027027027027027,538
256,1,Adam,0.0001,0.1,0,1,4.113381331353574,185.94604028731183,0.0,222
512,1,Adam,0.01,0.01,-1,1,3.9622406914427475,14.835130181843164,0.021621621621621623,320
512,1,Adam,0.01,0,-0.5,0.5,3.2454449070466533,30.52845910575895,0.22702702702702704,313
512,1,Adam,0.0001,0.1,0,1,3.373652439181869,329.0994900889493,0.0,342
4096,1,Adam,1e-05,0.01,-0.5,0.5,3.0265299313777203,228.66872578531334,0.972972972972973,715
1024,1,Adam,0.01,0,-1,1,3.8605418514561007,132.18672386375633,0.08648648648648649,434
1024,1,SGD,0.01,0.01,-1,1,2.977330728801521,194.16216216216216,0.9567567567567568,380
4096,1,SGD,1e-05,1,0,1,3.5776588298179006,215.02162162162162,0.0,660
2048,1,SGD,0.1,0.1,-1,1,3.8033504908149305,,0.010810810810810811,485
4096,1,SGD,0.0001,0,-0.5,0.5,4.551624978233028,1.7567660567333832,0.2918918918918919,637
256,1,SGD,0.1,0.1,-1,1,3.059353179545016,,0.0,125
128,1,Adam,1e-05,0,0,1,3.799967021555514,73.52439324517508,0.0,111
2048,1,SGD,0.01,1,-1,1,5.286997825390584,,0.005405405405405406,503
128,1,Adam,0.001,0,-1,1,2.605893339981904,26.8583754075496,0.5837837837837838,86
4096,1,SGD,0.0001,1,-1,1,3.8262525529474827,4.6872399484695695,0.16756756756756758,647
2048,1,SGD,0.01,0,-0.5,0.5,2.295978561607567,,0.9837837837837838,493
4096,1,Adam,0.001,0.1,-1,1,3.3040986856898744,7.863066027119655,0.07567567567567568,689
2048,1,Adam,0.0001,0,0,1,3.549017195443849,375.7027027027027,0.005405405405405406,579
512,1,Adam,0.01,1,-1,1,3.573939911739246,56.999762743974195,0.0,323
128,1,Adam,0.0001,0,0,1,3.3983377176362115,95.06486486486486,0.03783783783783784,99
4096,1,SGD,0.0001,1,0,1,3.6229238774325396,314.6702702702703,0.0,648
1024,1,Adam,0.0001,0.1,0,1,3.3969645319758235,208.92758662201263,0.0,462
128,1,SGD,0.0001,1,0,1,3.4809625557951027,126.91351351351351,0.0,48
4096,1,SGD,1e-05,0.01,0,1,3.3762973466434993,48.21081081081081,0.0,657
256,1,SGD,0.001,1,-1,1,3.6552883347949465,32.29742394737094,0.0,155
