hidden_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
512,SGD,0.0001,0,-0.5,0.5,4.112681507579679,57.48791520199852,0.056910569105691054,93
256,SGD,0.0001,0.01,-1,1,3.768867042006516,44.48800082931005,0.032520325203252036,15
256,SGD,0.0001,0.01,0,1,4.468659536140721,256.1544715447154,0.0,55
512,SGD,0.001,0,-0.5,0.5,5.692343443389831,160.01626016260164,0.08943089430894309,89
256,SGD,1e-05,1,0,1,3.901649723692638,309.3089430894309,0.032520325203252036,60
256,SGD,1e-05,0,-1,1,6.465199517040718,289.46187844915636,0.008130081300813009,17
1024,SGD,1e-05,0.1,-0.5,0.5,4.111121670986579,102.86612565700374,0.016260162601626018,158
1024,SGD,1e-05,0.01,-0.5,0.5,3.632996986067392,122.9203331188859,0.024390243902439025,159
512,SGD,0.1,0.01,-0.5,0.5,5.695349651138957,40.02439024390244,0.016260162601626018,83
1024,SGD,0.001,0,-0.5,0.5,5.708730160220852,119.93561153713523,0.13821138211382114,149
1024,SGD,0.001,1,-1,1,3.122995608705815,121.55284552845528,0.0,132
512,SGD,1e-05,0,-1,1,3.5362659833295558,20.81109390559235,0.016260162601626018,77
1024,SGD,0.01,0.1,-0.5,0.5,3.74292228134667,58.89430894308943,0.04065040650406504,146
1024,SGD,0.1,1,-1,1,3.3518103482277413,122.51219512195122,0.024390243902439025,124
512,SGD,0.01,0.01,-1,1,3.561220849917187,72.2520325203252,0.13821138211382114,67
256,SGD,0.0001,0.01,-0.5,0.5,3.3803381241433987,96.89345914556132,0.12195121951219512,35
512,SGD,0.1,1,-0.5,0.5,6.334446407915131,72.92682926829268,0.008130081300813009,84
512,SGD,0.01,0,-1,1,2.923738789752247,555.0813008130082,0.15447154471544716,65
512,SGD,0.1,0.1,-0.5,0.5,5.743794471267762,69.2439024390244,0.0,82
512,SGD,0.001,0,-1,1,5.827677495111295,50.764227642276424,0.08943089430894309,69
512,SGD,0.1,0,-1,1,6.326502254338768,310.4146341463415,0.008130081300813009,61
1024,SGD,0.0001,0.01,-0.5,0.5,5.968286428025098,44.745609347454874,0.016260162601626018,155
1024,SGD,0.0001,0.01,0,1,4.080559937934566,21.824307100680784,0.0,175
1024,SGD,1e-05,1,-1,1,5.605884529710785,41.1590429489038,0.04065040650406504,140
1024,SGD,0.1,0,-1,1,5.251294687026885,56.764227642276424,0.13821138211382114,121
512,SGD,0.01,1,-0.5,0.5,3.4748382902726895,83.60975609756098,0.0,88
512,SGD,0.1,0,0,1,7.016665218806848,97.28455284552845,0.04878048780487805,101
256,SGD,0.01,1,0,1,3.3080587033333817,58.11462739982256,0.056910569105691054,48
256,SGD,0.0001,0.1,0,1,3.0732423910280553,97.40804483929301,0.0,54
256,SGD,0.0001,1,-0.5,0.5,4.216101115796624,92.78303208682307,0.024390243902439025,36
256,SGD,0.01,0,0,1,4.088940966420058,70.26829268292683,0.0,45
1024,SGD,0.001,0.01,0,1,3.8040541352295296,300.9349593495935,0.0,171
1024,SGD,0.1,1,-0.5,0.5,5.968751255089675,121.16260162601625,0.024390243902439025,144
256,SGD,0.1,1,-1,1,3.4103526623268436,259.2682926829268,0.008130081300813009,4
256,SGD,0.1,0.01,-0.5,0.5,3.5027627615424675,40.048780487804876,0.016260162601626018,23
512,SGD,0.01,0.1,-0.5,0.5,3.649354844073939,48.51219512195122,0.0,86
512,SGD,0.1,1,-1,1,3.243859836725685,72.78861788617886,0.04065040650406504,64
512,SGD,1e-05,0,-0.5,0.5,3.392006176758588,24.90945304104797,0.04878048780487805,97
256,SGD,0.01,0,-0.5,0.5,3.0314768940452637,435.5284552845528,0.10569105691056911,25
512,SGD,1e-05,0.1,0,1,3.6371519778802144,57.48780487804878,0.0,118
256,SGD,0.0001,1,-1,1,3.494318797820952,32.32644433837336,0.024390243902439025,16
256,SGD,0.1,0,-0.5,0.5,5.498391230901082,61.260162601626014,0.008130081300813009,21
1024,SGD,0.01,0,-1,1,3.7188215624026166,49.146341463414636,0.0,125
1024,SGD,1e-05,0.1,0,1,3.3158743541415143,268.5381260771092,0.0,178
256,SGD,0.01,1,-0.5,0.5,3.791402732938286,49.520325203252035,0.008130081300813009,28
512,SGD,0.01,0.1,0,1,6.64051993203357,46.951219512195124,0.056910569105691054,106
256,SGD,1e-05,0.01,0,1,4.1451106333151095,28.408303589817532,0.008130081300813009,59
1024,SGD,1e-05,0,-0.5,0.5,5.802218766231847,60.249871679503144,0.032520325203252036,157
512,SGD,0.01,0.01,-0.5,0.5,3.211042233598911,391.2845528455285,0.10569105691056911,87
1024,SGD,0.0001,0.01,-1,1,6.451971556597609,100.97161410483191,0.024390243902439025,135
1024,SGD,1e-05,0.01,-1,1,3.3578056833608363,31.853256858447786,0.04878048780487805,139
512,SGD,0.001,0,0,1,3.2647465748515554,44.34959349593496,0.0,109
1024,SGD,0.001,1,0,1,3.314324951268793,148.11199993355487,0.0,172
256,SGD,0.01,1,-1,1,3.748411350618533,45.292682926829265,0.0,8
1024,SGD,0.001,0,0,1,3.993272649563425,42.86178861788618,0.0,169
1024,SGD,0.1,0,-0.5,0.5,3.5435500416329235,40.77235772357724,0.016260162601626018,141
512,SGD,1e-05,1,-1,1,3.2868622963021443,362.26622293461946,0.04065040650406504,80
256,SGD,1e-05,0,-0.5,0.5,3.5556726000173304,89.85362891676056,0.056910569105691054,37
1024,SGD,0.01,0,0,1,3.7536295579700933,55.68292682926829,0.0,165
256,SGD,0.001,0.1,-1,1,3.6496246936844616,303.2558516191349,0.032520325203252036,10
1024,SGD,0.01,1,0,1,4.228493598418507,77.91056910569105,0.04878048780487805,168
1024,SGD,0.0001,0,-0.5,0.5,5.562943975130717,36.58414946431701,0.008130081300813009,153
256,SGD,0.0001,1,0,1,4.127951419934994,59.43301377257681,0.0,56
1024,SGD,0.0001,0.1,0,1,3.7421860123068336,268.6260162601626,0.0,174
256,SGD,0.01,0.1,0,1,5.658160639487631,27.537004670234232,0.0,46
256,SGD,0.1,0.01,-1,1,4.382901890975673,56.34146341463415,0.032520325203252036,3
1024,SGD,0.01,0.1,0,1,4.080043071653785,43.170731707317074,0.0,166
512,SGD,0.0001,0.01,0,1,3.3399979118409195,37.26829268292683,0.0,115
512,SGD,0.01,1,-1,1,3.509821477459698,54.73170731707317,0.0,68
1024,SGD,0.01,1,-1,1,3.557903996328028,269.99187346469097,0.008130081300813009,128
1024,SGD,0.01,1,-0.5,0.5,3.107449953633595,67.36585365853658,0.0,148
512,SGD,0.0001,0.01,-0.5,0.5,3.7716994610259205,318.0421162121359,0.056910569105691054,95
256,SGD,1e-05,1,-1,1,3.779543386242254,82.13927015127167,0.056910569105691054,20
1024,SGD,1e-05,0.01,0,1,6.1658269627307485,58.46341463414634,0.13008130081300814,179
512,SGD,0.01,0.1,-1,1,3.6000993789696114,60.016260162601625,0.008130081300813009,66
1024,SGD,1e-05,1,-0.5,0.5,3.652923105693445,36.26484494685428,0.04065040650406504,160
512,SGD,0.001,1,-1,1,4.001298266697705,134.10569105691056,0.0,72
1024,SGD,0.1,0.01,-0.5,0.5,2.941417891804765,46.1869918699187,0.0,143
1024,SGD,0.01,0.01,-0.5,0.5,4.1009204993403054,44.80487804878049,0.0975609756097561,147
512,SGD,0.001,0.1,0,1,3.969851498681355,266.78979311532123,0.0,110
512,SGD,0.01,0,-0.5,0.5,3.4385776166024247,47.91056910569106,0.13821138211382114,85
256,SGD,0.001,0.1,-0.5,0.5,3.560416308360371,84.77175820928173,0.0,30
1024,SGD,1e-05,0,0,1,3.1207755101405508,20.837698284476026,0.0,177
512,SGD,0.1,1,0,1,2.9243620280327836,37.65040650406504,0.008130081300813009,104
512,SGD,0.1,0.1,-1,1,3.662144937650944,252.58536585365854,0.008130081300813009,62
1024,SGD,0.1,0,0,1,3.95967135342156,43.09756097560975,0.0,161
256,SGD,1e-05,0.1,-0.5,0.5,3.024886697288451,20.70194898391279,0.04878048780487805,38
256,SGD,0.1,1,0,1,3.617834803534717,138.8861788617886,0.024390243902439025,44
512,SGD,0.001,1,0,1,3.4847214163803475,159.07105909711947,0.0,112
1024,SGD,0.0001,1,-1,1,3.526610558110524,156.22045059648738,0.016260162601626018,136
1024,SGD,0.1,0.1,-0.5,0.5,3.7021005042200166,78.84552845528455,0.0,142
256,SGD,0.1,0,0,1,4.127043747320408,180.10569105691056,0.0,41
256,SGD,0.1,0.1,-0.5,0.5,3.189683524089131,49.50406504065041,0.0,22
512,SGD,1e-05,0.1,-0.5,0.5,3.35147816524273,46.03855121382361,0.12195121951219512,98
512,SGD,0.01,0.01,0,1,4.405249540398761,120.6829268292683,0.024390243902439025,107
1024,SGD,0.001,0.1,-1,1,4.32071253293898,117.77883048558502,0.04878048780487805,130
512,SGD,0.0001,0.1,0,1,3.6520138058235974,192.83739837398375,0.0,114
