hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
1024,1,Adam,0.1,0.1,-1,1,4.709856886154896,132.28863752178245,0.005405405405405406,425
256,1,Adam,1e-05,0.1,-0.5,0.5,5.19595666833826,28.80972997776258,0.10270270270270271,232
512,1,Adam,0.001,1,-1,1,5.084626873763832,18.247059705730123,0.005405405405405406,332
1024,1,Adam,0.0001,10,0,1,3.0576669348252787,57.68108108108108,0.0,468
256,1,Adam,0.01,10,-0.5,0.5,3.8192939796963254,35.54522135903323,0.04864864864864865,202
256,1,SGD,0.0001,10,-0.5,0.5,3.5143972119769535,36.50556417032298,0.0,166
256,1,SGD,0.1,1,-0.5,0.5,3.7787571153125246,26.530954129002183,0.0,127
1024,1,SGD,0.01,0,-0.5,0.5,2.7018090615401396,63.04864864864865,0.9891891891891892,373
128,1,Adam,0.01,0,-0.5,0.5,3.432792127454603,141.8052056499442,0.08648648648648649,73
256,1,SGD,0.1,0,-0.5,0.5,3.769096615507796,46.108352683593104,0.8810810810810811,121
512,1,Adam,1e-05,0.1,-1,1,3.82244681925387,18.33605801893046,0.15675675675675677,353
1024,1,SGD,0.001,1,-0.5,0.5,4.1850043683438685,42.37837837837838,0.0,391
128,1,SGD,0.0001,0,-0.5,0.5,5.167224635626819,131.74641726140587,0.043243243243243246,37
128,1,Adam,0.001,10,0,1,3.4613113422651547,230.84864864864866,0.08108108108108109,96
512,1,Adam,0.01,0.1,0,1,5.599973110894899,77.15675675675676,0.05405405405405406,318
1024,1,SGD,1e-05,0.1,-1,1,3.479420328462446,59.52208023200164,0.07027027027027027,413
256,1,SGD,0.0001,0,0,1,3.7826664370459477,224.32972972972973,0.0,159
128,1,Adam,0.01,0,0,1,4.030442191459037,49.7027027027027,0.043243243243243246,75
1024,1,Adam,0.001,10,0,1,3.8660402046667564,103.75675675675676,0.010810810810810811,456
128,1,Adam,1e-05,1,0,1,5.301895377120456,192.85658707650933,0.005405405405405406,117
256,1,Adam,0.1,0.1,0,1,3.6556834017908253,257.76216216216216,0.021621621621621623,186
128,1,Adam,0.1,10,0,1,3.1995109819077157,44.64080496736475,0.07027027027027027,72
128,1,SGD,0.001,10,-1,1,3.483156902725632,114.87602147369117,0.05405405405405406,35
256,1,Adam,0.0001,0,-1,1,4.24170641286953,26.105886112318398,0.6216216216216216,218
256,1,Adam,0.001,1,0,1,3.743467251674549,276.1837837837838,0.0,213
1024,1,Adam,0.0001,1,0,1,3.569272806837752,98.2,0.05945945945945946,465
1024,1,Adam,1e-05,0.1,-0.5,0.5,4.6232901502299955,48.611471409411045,0.22702702702702704,472
512,1,SGD,0.001,1,0,1,3.8301909111641548,40.924324324324324,0.0,273
512,1,Adam,0.0001,0.1,-0.5,0.5,3.5825249111330186,17.26077877401475,0.07027027027027027,340
128,1,Adam,1e-05,10,0,1,3.6582388172278533,297.0108108108108,0.016216216216216217,120
