hidden_size,density,leakage_rate,spectral_radius,input_scaling,testing_loss_prob,testing_loss_durr,testing_accuracy,number
1024,0.1,0.5,1.5,10,5.589314517936086,209.9512195121951,0.12195121951219512,1300
1024,0.1,0,-1,0.1,5.959028858479446,50.79717437469278,0.13008130081300814,1768
512,0.5,0.5,1.5,10,4.204560447029952,45.60162601626016,0.032520325203252036,670
1024,0.9,0.9,-1,0.001,6.258599526029292,402.5185073819669,0.11382113821138211,1681
1024,0.9,0.9,0.9,1,2.838130681495356,87.68491954964442,0.008130081300813009,1384
1024,0.1,0.1,0.9,1,5.273956156843077,450.04755527769385,0.15447154471544716,1454
1024,0.5,0.5,1.5,0.001,5.850218123536769,62.447154471544714,0.008130081300813009,1266
512,0.01,0.5,0.9,10,3.672316728084068,18.600131454389416,0.0,880
512,0.5,0.5,1.5,0.001,3.2780370586286716,45.552845528455286,0.0,666
512,0.1,0.1,1.5,0.001,3.418864928125366,47.94839755591569,0.024390243902439025,701
512,0.9,0,-1,0.1,6.689673086492027,154.7335742234957,0.08943089430894309,1108
1024,0.1,0.1,-1,0.1,3.427463928858439,222.09198315779213,0.04878048780487805,1753
1024,0.01,0.1,1.5,1,3.162502055245686,82.7258630691293,0.12195121951219512,1334
256,0.9,0.01,0.9,0.001,5.607269713064519,272.5391944406357,0.0,196
256,1,0.9,-1,0.01,3.0531368105392147,388.1695619145534,0.056910569105691054,452
512,1,0.1,0.5,1,3.195740075130773,18.555039093222177,0.0,914
256,0.5,0,-1,0.1,3.690324674776899,163.21354288980814,0.12195121951219512,538
512,0.01,0.001,-1,10,3.605891426888908,23.024792211932866,0.0,1195
256,0.5,0.1,0.9,0.01,3.3029117012411597,384.4065040650407,0.0,222
256,1,0.01,0.5,10,3.572913802251583,22.797855501736105,0.0,320
512,0.01,0.5,0.9,1,3.2787347431105327,286.1742421705698,0.016260162601626018,879
512,0.01,0.001,-1,1,3.5203803157418725,150.11501291956495,0.13821138211382114,1194
512,0.5,0.01,0.5,0.1,3.665900699491423,90.57957302142272,0.024390243902439025,978
1024,0.5,0.5,0.5,0.01,2.997279887276936,402.9918699186992,0.0,1567
256,1,0.1,0.5,0.1,4.714472664080985,141.60452416302954,0.0,313
256,0.9,0.1,0.5,0.01,3.544129297016113,50.78048780487805,0.0,342
512,0.1,0.001,1.5,10,5.123763316530522,29.749079581410662,0.3008130081300813,715
1024,0.01,0.01,-1,10,3.2809772350923803,32.3370136995284,0.24390243902439024,1790
512,0.9,0.5,0.9,10,6.027636274574249,29.973980292617306,0.10569105691056911,790
512,0.5,0,0.9,0.1,3.7749799281601013,19.315745260646924,0.016260162601626018,838
512,0.01,0,0.9,1,3.99927435367088,22.599562978995582,0.0,899
1024,1,0.01,1.5,0.001,6.145767355352882,52.8780487804878,0.008130081300813009,1216
256,0.01,0.1,0.5,1,3.641759746442965,295.32842489355386,0.17073170731707318,434
1024,0.1,0.01,0.9,0.01,3.677585621190265,48.50003191998349,0.0,1457
512,0.01,0,-1,1,3.084294251310147,21.464774817434648,0.15447154471544716,1199
512,0.1,0.01,0.9,0.001,5.619951543769216,28.754512414699647,0.0,856
1024,0.5,0.5,0.9,0.1,3.9325929642692814,84.65040650406505,0.0,1418
1024,0.9,0.01,0.9,0.01,6.092718980176662,270.25325909135785,0.008130081300813009,1397
512,0.01,0.001,1.5,0.1,6.0826442924941455,397.8238119581869,0.056910569105691054,743
256,0.5,0.01,0.5,10,3.953075166640243,19.619646970023652,0.0,380
512,0.9,0,1.5,10,2.6623703997309613,32.162065156519034,0.12195121951219512,660
256,0.9,0.9,-1,10,4.466046518911191,82.2382859025847,0.032520325203252036,485
1024,0.9,0.9,-1,1,3.5683703960441964,146.22797794403257,0.07317073170731707,1684
512,0.9,0.1,0.9,10,3.867826206412742,28.447051417849185,0.0,795
512,0.01,0.1,-1,0.001,4.057325310338803,54.172511346698776,0.0,1181
512,0.9,0.01,-1,10,3.3917211749689367,73.09433459657262,0.0,1100
1024,0.5,0.01,1.5,0.01,3.7540422038334174,29.89426235040866,0.04065040650406504,1277
512,0.9,0.5,1.5,0.01,4.026176856300695,41.89506548013144,0.0,637
1024,0.01,0.001,0.5,0.1,4.751089285059673,272.56866795557545,0.024390243902439025,1643
256,0.01,0.9,1.5,10,3.2424651079061553,292.92137323352756,0.008130081300813009,125
512,1,0.01,0.5,0.1,5.712898517527232,46.03252032520325,0.04878048780487805,918
256,0.1,0.001,1.5,0.001,3.6793759644516117,44.498632473431954,0.0,111
256,0.9,0.001,-1,0.1,5.97157098461942,135.75030290685987,0.0975609756097561,503
256,0.5,0,1.5,0.001,3.9147784874691225,175.88110759911862,0.024390243902439025,86
512,0.9,0.01,1.5,0.01,3.7804932163013674,138.28883356891754,0.0,647
512,0.5,0,-1,0.001,3.4031916095958494,44.26003776441756,0.056910569105691054,1136
512,0.1,0.001,-1,0.001,3.496557449906822,49.32893650170143,0.07317073170731707,1161
