hidden_size,density,leakage_rate,spectral_radius,testing_loss_prob,testing_loss_durr,testing_accuracy,number
1024,0.1,0.5,1.5,3.17078011355749,50.017435829813884,0.18699186991869918,1300
1024,0.1,0,,3.7366188468971875,50.94560886724361,0.056910569105691054,1768
512,0.5,0.5,1.5,3.5313659615632966,138.3178250943197,0.24390243902439024,670
1024,0.9,0.9,,3.1451877941930197,27.602258778569038,0.08943089430894309,1681
1024,0.9,0.9,0.9,5.825752555839414,45.926829268292686,0.056910569105691054,1384
1024,0.1,0.1,0.9,2.5741215706840763,108.05780639500077,0.22764227642276422,1454
1024,0.5,0.5,1.5,3.8691092724722576,282.24454719167414,0.008130081300813009,1266
512,0.01,0.5,0.9,3.4654701192204547,184.6829268292683,0.12195121951219512,880
512,0.5,0.5,1.5,3.8882893004068513,21.164637612618083,0.0,666
512,0.1,0.1,1.5,3.7090050597500994,42.9471580633303,0.0,701
512,0.9,0,,5.819277863676955,198.60211272982926,0.11382113821138211,1108
1024,0.1,0.1,,3.792932102350685,35.498823936804335,0.07317073170731707,1753
1024,0.01,0.1,1.5,3.391063530755237,297.18715489014124,0.2845528455284553,1334
256,0.9,0.01,0.9,3.729659131387385,397.5662982740053,0.0,196
256,1,0.9,,5.230131652781634,263.4798730974804,0.04878048780487805,452
512,1,0.1,0.5,5.758173030081803,257.89678274325945,0.3008130081300813,914
256,0.5,0,,4.067108337956715,98.64588120474005,0.06504065040650407,538
512,0.01,0.001,,5.645484692682095,145.5208702375393,0.2601626016260163,1195
256,0.5,0.1,0.9,6.130043281772273,26.567623140608394,0.0,222
256,1,0.01,0.5,3.577638633367492,134.27139515899276,0.24390243902439024,320
512,0.01,0.5,0.9,3.0485830205242808,21.950143819483664,0.024390243902439025,879
512,0.01,0.001,,3.788023964176333,264.8286909341083,0.15447154471544716,1194
512,0.5,0.01,0.5,3.1790696130535467,21.771755643549557,0.016260162601626018,978
1024,0.5,0.5,0.5,3.225769821705857,20.222118760936144,0.0,1567
256,1,0.1,0.5,4.151760117309849,47.15474153141353,0.016260162601626018,313
256,0.9,0.1,0.5,3.8721805156731026,57.84552845528455,0.0,342
512,0.1,0.001,1.5,3.7117585137607607,25.864508560666533,0.23577235772357724,715
1024,0.01,0.01,,2.818614086969112,21.2164533229434,0.2601626016260163,1790
512,0.9,0.5,0.9,3.128870663604116,22.471380309315826,0.21951219512195122,790
512,0.5,0,0.9,3.360037049142326,266.91424397482774,0.008130081300813009,838
512,0.01,0,0.9,6.036797614116979,20.875511460021617,0.1951219512195122,899
1024,1,0.01,1.5,3.271092653274536,17.947996942977596,0.0,1216
256,0.01,0.1,0.5,5.315674789552766,51.886178861788615,0.2032520325203252,434
1024,0.1,0.01,0.9,3.716681947553061,312.5353286867219,0.016260162601626018,1457
512,0.01,0,,3.6239898083655815,23.179143156984455,0.3170731707317073,1199
512,0.1,0.01,0.9,3.9636613309867985,305.2113821138211,0.0,856
1024,0.5,0.5,0.9,3.8850249095660883,308.4552845528455,0.0,1418
1024,0.9,0.01,0.9,3.81763710820578,148.96888792908993,0.0,1397
512,0.01,0.001,1.5,3.213137937270529,52.203252032520325,0.008130081300813009,743
256,0.5,0.01,0.5,3.08128986852925,50.349998899104925,0.24390243902439024,380
512,0.9,0,1.5,3.4386166973811823,22.5391814295892,0.16260162601626016,660
256,0.9,0.9,,3.9027355080697594,151.73170731707316,0.008130081300813009,485
1024,0.9,0.9,,4.074965513334042,38.177698477895646,0.12195121951219512,1684
512,0.9,0.1,0.9,3.3413347563123317,204.97694175644602,0.21951219512195122,795
512,0.01,0.1,,6.4259266058603925,27.862298870474344,0.008130081300813009,1181
512,0.9,0.01,,5.250987172611361,98.20809885529457,0.36585365853658536,1100
1024,0.5,0.01,1.5,3.665729088996484,17.223159622370712,0.0,1277
512,0.9,0.5,1.5,6.704112580636653,56.60919568354522,0.032520325203252036,637
1024,0.01,0.001,0.5,4.200581082483617,46.40235485848251,0.024390243902439025,1643
256,0.01,0.9,1.5,3.0098027964917624,24.494017825439208,0.016260162601626018,125
512,1,0.01,0.5,4.259428793337287,50.17916440110411,0.032520325203252036,918
256,0.1,0.001,1.5,4.299398471184863,300.71167380344576,0.04065040650406504,111
256,0.9,0.001,,3.669332770797295,249.2437657580111,0.056910569105691054,503
256,0.5,0,1.5,3.6182906172139857,19.27943439672633,0.0,86
512,0.9,0.01,1.5,3.9220395228727076,38.34588464634205,0.0,647
512,0.5,0,,5.6494662829530915,306.8769297594871,0.0975609756097561,1136
512,0.1,0.001,,3.4781160281925665,59.84630810951049,0.0975609756097561,1161
1024,0.5,0.9,0.9,3.6421966203829137,58.65040650406504,0.008130081300813009,1415
256,0.9,0.1,,3.5575976856355744,168.3480276270671,0.06504065040650407,493
512,0.5,0,1.5,3.550526075731448,444.4971943595371,0.3008130081300813,689
512,0.5,0.9,0.9,5.682747579202419,204.23870329937435,0.056910569105691054,815
256,0.01,0.5,,3.807596519225981,91.9988948607624,0.07317073170731707,579
1024,0.1,0.1,,4.007175788646791,293.6081401615898,0.04878048780487805,1752
1024,0.9,0.001,1.5,3.842562669660987,16.033769136149722,0.008130081300813009,1253
1024,0.9,0.9,1.5,5.521321665465347,97.61152694380381,0.0,1232
256,1,0.001,0.5,3.4305976314273305,92.43375145160873,0.0,323
256,0.1,0.5,1.5,3.9553641066318606,134.36501854632004,0.04065040650406504,99
512,0.1,0.9,0.5,3.4192124043053727,28.84104618058555,0.008130081300813009,995
1024,0.5,0.9,0.9,3.824787487344044,329.61096944856814,0.024390243902439025,1413
