hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
128,1,SGD,1e-05,0,-0.5,0.5,3.7690950377567396,14.769044869898416,0.05405405405405406,13
128,1,Adam,1e-05,0,-1,1,3.4781445458128646,36.72159998436408,0.0972972972972973,29
1024,1,Adam,1e-05,0,-1,1,4.286994266832197,49.96160750240717,0.43783783783783786,119
256,1,SGD,1e-05,0,-1,1,5.317812919616699,21.098302531622764,0.08648648648648649,44
256,1,SGD,1e-05,0,0,1,5.510808170163954,28.69402332563658,0.03783783783783784,45
512,1,SGD,0.1,0,-1,1,2.9699501752853394,59.12861034729631,0.043243243243243246,62
2048,1,SGD,1e-05,0,0,1,4.842830436294143,50.66486486486487,0.005405405405405406,135
512,1,Adam,0.1,0,-0.5,0.5,4.1392816330935505,20.952771914639566,0.021621621621621623,76
2048,1,Adam,0.1,0,0,1,3.569701751824972,50.75675675675676,0.22702702702702704,138
2048,1,SGD,1e-05,0,-1,1,3.860800218259966,6.079634853338546,0.04864864864864865,134
1024,1,SGD,0.0001,0,-1,1,4.376532197965158,53.31163703035166,0.032432432432432434,101
128,1,SGD,1e-05,0,0,1,3.5259014297176052,51.627027027027026,0.05405405405405406,15
2048,1,Adam,1e-05,0,-1,1,2.9038565348934484,8.467361894918243,0.6918918918918919,149
128,1,SGD,0.01,0,-1,1,2.8023522741085776,157.76429614284189,0.1945945945945946,5
4096,1,Adam,0.01,0,-0.5,0.5,5.454463375581278,4.6782484785600165,0.03783783783783784,169
256,1,Adam,1e-05,0,-1,1,5.148452673087249,144.47621472550406,0.12432432432432433,59
2048,1,SGD,0.0001,0,-0.5,0.5,3.6842267822574923,6.200980496970383,0.12432432432432433,130
4096,1,SGD,1e-05,0,-1,1,3.513078238513019,6.595459437313587,0.08648648648648649,164
512,1,Adam,0.001,0,-1,1,2.9996482488271354,50.7322907637553,0.572972972972973,83
128,1,Adam,0.01,0,-1,1,5.400576817989349,32.60715671293392,0.07027027027027027,20
4096,1,SGD,1e-05,0,-0.5,0.5,5.130015100659551,4.5507584762094,0.05945945945945946,163
4096,1,Adam,0.0001,0,-0.5,0.5,3.6091561085469013,5.35241682569125,0.772972972972973,175
1024,1,Adam,0.001,0,0,1,3.6706509925223685,137.84864864864866,0.05405405405405406,114
128,1,SGD,0.001,0,0,1,4.045207050362149,103.13139349263149,0.0,9
1024,1,Adam,0.0001,0,-1,1,2.4084611377200567,20.728198750747154,0.8378378378378378,116
256,1,Adam,1e-05,0,-0.5,0.5,5.346636477998785,21.42403175413739,0.11891891891891893,58
2048,1,Adam,0.0001,0,0,1,3.461009030728727,54.524324324324326,0.005405405405405406,147
4096,1,SGD,0.1,0,0,1,3.7165457380784526,48.178378378378376,0.0,153
256,1,SGD,0.001,0,0,1,4.010576540714986,194.3299192982751,0.0,39
4096,1,SGD,0.0001,0,0,1,4.507267751887038,278.9135135135135,0.005405405405405406,162
512,1,SGD,0.0001,0,-1,1,3.5636799071286176,78.82988406951465,0.043243243243243246,71
512,1,Adam,1e-05,0,0,1,3.54933585701762,239.97837837837838,0.0,90
1024,1,SGD,0.001,0,-1,1,3.1776111399805225,22.102546920507795,0.32972972972972975,98
1024,1,SGD,0.001,0,-0.5,0.5,3.2874920580838176,15.258490034586725,0.31891891891891894,97
256,1,Adam,0.001,0,0,1,3.4408671272767557,23.44127038515903,0.043243243243243246,54
4096,1,Adam,0.001,0,-1,1,3.7527449675508446,9.59223371895307,0.05405405405405406,173
512,1,Adam,0.01,0,-1,1,3.890275274740683,26.31780985742933,0.07027027027027027,80
4096,1,Adam,0.001,0,-0.5,0.5,3.631536233747328,5.327871524815163,0.07027027027027027,172
2048,1,SGD,1e-05,0,-0.5,0.5,3.5478565473814268,12.300668757741427,0.032432432432432434,133
1024,1,Adam,0.001,0,-1,1,3.2054958833230507,38.956035200183635,0.1891891891891892,113
512,1,SGD,1e-05,0,-1,1,3.479000335448497,18.796547262026376,0.03783783783783784,74
2048,1,Adam,0.01,0,-0.5,0.5,3.5444476127624513,6.459702490690806,0.021621621621621623,139
4096,1,Adam,0.1,0,0,1,3.3425926069955567,60.01081081081081,0.05405405405405406,168
2048,1,Adam,1e-05,0,-0.5,0.5,4.0490376130954635,7.449356764558439,0.7189189189189189,148
4096,1,SGD,0.1,0,-1,1,4.2712550346915785,7.59659018052012,0.12432432432432433,152
256,1,Adam,0.01,0,-0.5,0.5,4.772352182542956,60.482094426674614,0.0918918918918919,49
512,1,SGD,0.001,0,-1,1,4.473551257236584,27.620343758740077,0.16216216216216217,68
2048,1,Adam,1e-05,0,0,1,3.4049461155324368,266.4108108108108,0.0,150
2048,1,SGD,0.1,0,-1,1,3.3968484743221388,13.125898798175134,0.016216216216216217,122
4096,1,SGD,0.1,0,-0.5,0.5,3.683382870699908,7.849332535878529,0.0918918918918919,151
4096,1,SGD,0.0001,0,-0.5,0.5,3.5890112899445197,7.532037858762605,0.2702702702702703,160
4096,1,SGD,0.001,0,-1,1,2.886936614320085,7.569416227746154,0.7081081081081081,158
4096,1,SGD,0.0001,0,-1,1,4.212032988909129,5.163837668304709,0.15135135135135136,161
